ligand_receptor,lr_id
CXCL3_ACKR1,475
CXCL5_ACKR1,478
CXCL6_ACKR1,481
CXCL8_ACKR1,484
CXCL9_ACKR1,487
CXCL10_ACKR1,458
CXCL11_ACKR1,460
CXCL13_ACKR1,465
CCL2_ACKR2,169
CCL3_ACKR2,174
CCL3L1_ACKR2,171
CCL4_ACKR2,177
CCL5_ACKR2,180
CCL7_ACKR2,186
CCL8_ACKR2,191
CCL7_ACKR1,185
CCL11_ACKR1,129
CCL11_ACKR2,130
CCL13_ACKR2,133
CCL22_ACKR2,154
CCL24_ACKR2,157
CCL26_ACKR2,161
CCL17_ACKR1,142
CCL14_ACKR2,137
CCL17_ACKR2,143
CXCL1_CXCR1,470
CXCL2_CXCR1,473
CXCL3_CXCR1,476
CXCL5_CXCR1,479
CXCL6_CXCR1,482
CXCL8_CXCR1,485
CXCL1_CXCR2,471
CXCL2_CXCR2,474
CXCL3_CXCR2,477
CXCL5_CXCR2,480
CXCL6_CXCR2,483
CXCL8_CXCR2,486
PPBP_CXCR2,1253
PF4V1_CXCR3,1232
CXCL9_CXCR3,488
CXCL10_CXCR3,459
CXCL11_CXCR3,462
CXCL13_CXCR3,466
PF4_CXCR3,1233
CXCL12_CXCR4,464
CXCL11_ACKR3,461
CXCL12_ACKR3,463
CXCL13_CXCR5,467
CXCL16_CXCR6,468
MIF_CD74_CXCR4,1126
MIF_CD74_CD44,1124
MIF_CD74_CXCR2,1125
MIF_ACKR3,1123
CX3CL1_CX3CR1,457
XCL1_XCR1,1936
XCL2_XCR1,1937
IL2_IL2RA_IL2RB_IL2RG,879
IL2_IL2RB_IL2RG,880
IL4_IL4R_IL2RG,893
IL7_IL7R_IL2RG,896
IL9_IL9R_IL2RG,897
IL15_IL15RA_IL2RB,855
IL21_IL21R_IL2RG,871
TSLP_IL7R_CRLF2,1551
IL3_IL3RA_CSF2RB,889
IL5_IL5RA_CSF2RB,894
CSF2_CSF2RA_CSF2RB,448
IL4_IL4R,890
IL4_IL4R_IL13RA1,891
IL4_IL4R_IL13RA2,892
IL13_IL4R_IL13RA1,853
IL13_IL4R_IL13RA2,854
IL13_IL13RA1,851
IL13_IL13RA2,852
IL6_IL6R_IL6ST,895
IL11_IL11R COMPLEX,849
IL12AB_IL12RB1_IL12RB2,850
IL23 COMPLEX_IL23R_IL12RB1,873
IL27 COMPLEX_IL27RA_IL6ST,878
IL31_IL31RA_OSMR,881
CNTF_CNTFR_LIFR,242
CLCF1_CNTFR_LIFR,235
CTF1_LIFR_IL6ST,451
LIF_LIFR_IL6ST,1104
OSM_LIFR_IL6ST,1212
OSM_OSMR_IL6ST,1213
IL10_IL10RA_IL10RB,848
IL19_IL20RA_IL20RB,863
IL20_IL20RA_IL20RB,869
IL24_IL20RA_IL20RB,874
IL20_IL22RA1_IL20RB,870
IL24_IL22RA1_IL20RB,875
IL22_IL22RA1_IL10RB,872
IL26_IL20RA_IL10RB,877
IL1A_IL1R1_IL1RAP,864
IL1B_IL1R1_IL1RAP,866
IL1A_IL1R2,865
IL1B_IL1R2,867
IL36RN_IL1RL2_IL1RAP,887
IL36A_IL1RL2_IL1RAP,884
IL36B_IL1RL2_IL1RAP,885
IL36G_IL1RL2_IL1RAP,886
IL1F10_IL1RL2_IL1RAP,868
IL37_IL18R1_IL18RAP,888
IL18_IL18R1_IL18RAP,862
IL33_IL1RL1_IL1RAP,882
IL17A_IL17RA_IL17RC,858
IL17F_IL17RA_IL17RC,861
IL17AF_IL17RA_IL17RC,857
IL17B_IL17RB,859
IL17C_IL17RA_IL17RE,860
IL25_IL17RA_IL17RB,876
IL34_CSF1R,883
CSF1_CSF1R,447
IL16_CD4,856
EPO_EPOR,584
GH1_GHR,726
PRL_PRLR,1261
THPO_MPL,1497
CSF3_CSF3R,449
IFNB1_IFNAR1_IFNAR2,833
IFNW1_IFNAR1_IFNAR2,837
