,Proximal Tubule,Principal Cells,Thick Ascending Limb,Intercalated Cells Type A,Endothelial Cell,Distal Convoluted Tubule,Connecting Tubule,Mesangial Cells,Intercalated Cells Type B,Leukocyte
45,0.15081887,0.254947,0.22543456,0.00979784,0.35182846,0.0020726263,0.0012266616,0.0029726077,0.00015719271,0.00074420095
46,0.10246092,0.17762165,0.0043208846,0.16773744,0.005761551,0.007877406,0.5075246,0.024655487,0.00031943413,0.0017206495
47,0.04509539,0.1399372,0.12439895,0.01237694,0.00061506877,0.5445122,0.12516525,0.0077292286,4.656088e-05,0.0001232186
48,0.19677356,0.41593555,0.060084898,0.07422895,0.027237605,0.019690113,0.11796935,0.07260465,0.003624599,0.0118507445
49,0.025445424,0.042112354,0.052605182,0.27568167,0.0025351946,0.001404352,0.00095640763,0.015430794,0.5834236,0.00040502526
50,0.098219655,0.14076953,0.013175534,0.007951019,0.013667558,0.0014103203,0.7222222,0.00038774993,0.00015165686,0.0020448416
51,0.024843656,0.06815513,0.0421837,0.011421008,0.2682235,0.24203429,0.2584154,0.08186511,0.0023219925,0.00053631753
52,0.32573196,0.09138619,0.53613234,0.014363393,0.004835879,0.0016721007,0.0017549299,0.0009934956,0.0011222606,0.022007506
53,0.01980852,0.102303475,0.02491938,0.0010265668,0.06639595,0.12253014,0.28907973,0.37107474,0.00020767968,0.0026538644
54,0.23744448,0.04611528,0.013932575,0.65805316,0.008408483,0.003574132,0.017884284,0.009614617,0.0038027565,0.001170231
55,0.07683978,0.10197488,0.12787798,0.0107801985,0.059827242,0.46199542,0.15302555,0.00084998267,0.00028999973,0.006538961
56,0.09806996,0.14953092,0.0017993909,0.0043790215,0.42531306,0.0022864023,0.31229764,0.005427847,0.0006163031,0.0002794134
57,0.29559234,0.06858888,0.047441307,0.2769455,0.005721127,0.0072844164,0.007200756,0.29060593,7.845312e-05,0.00054130104
58,0.08655349,0.32411844,0.28262794,0.061432548,0.0029022396,0.029300725,0.03220484,0.16878198,9.98408e-05,0.011977967
59,0.25677508,0.14552131,0.21367858,0.003879632,0.027573772,0.0064067696,0.0060479715,0.0025343802,0.000404201,0.3371783
60,0.022437919,0.012261926,0.111804806,0.013903408,0.73799133,0.0012059866,0.0056619258,0.09426779,0.00019925837,0.00026561576
61,0.12411162,0.22756934,0.44817215,0.065186754,0.06398645,0.0051851254,0.06256959,0.0015858769,0.00039943913,0.001233652
62,0.20284732,0.10371736,0.016286097,0.6192025,0.020812478,0.008511034,0.018302621,0.006903307,0.00032596974,0.0030913749
63,0.046601724,0.0721816,0.11830817,0.068642505,0.15372755,0.00566851,0.5146366,0.012437159,0.00043168673,0.0073646675
64,0.65607285,0.25886482,0.011583481,0.0138503695,0.030559292,0.007099471,0.017518204,0.0024041492,0.00087433035,0.0011730809
65,0.038085062,0.12268151,0.045967616,0.0806268,0.032486346,0.6571702,0.017433709,0.0022204425,8.672745e-05,0.003241595
66,0.4113063,0.4069148,0.06407403,0.02807855,0.013811949,0.024205934,0.007608765,0.022247521,0.0066491533,0.015102851
67,0.31347555,0.15245196,0.04840157,0.009405648,0.0037935567,0.45935485,0.003872145,0.0058566276,0.001254389,0.002133628
